Position (mm);Force (N);Strain (%);Time (min)
3,44;13500;1,10;3,44
3,44;13500;1,10;3,44
3,45;13500;1,10;3,45
3,45;13500;1,10;3,45
3,46;13500;1,10;3,46
3,46;13500;1,10;3,46
3,46;13500;1,10;3,47
3,47;13500;1,10;3,47
3,47;13500;1,10;3,48
3,48;13400;1,10;3,48
3,48;13400;1,10;3,49
3,49;13500;1,10;3,49
3,49;13500;1,10;3,50
3,50;13500;1,10;3,50
3,50;13500;1,10;3,51
3,51;13500;1,10;3,51
3,51;13600;1,10;3,52
3,52;13600;1,10;3,52
3,52;13600;1,10;3,53
3,53;13600;1,10;3,53
3,53;13600;1,10;3,54
3,54;13600;1,10;3,54
3,54;13600;1,10;3,55
3,55;13600;1,10;3,55
3,55;13600;1,10;3,56
3,56;13600;1,10;3,56
3,56;13600;1,10;3,57
3,57;13500;1,10;3,57
3,57;13500;1,10;3,58
3,58;13500;1,10;3,58
3,58;13500;1,10;3,58
3,59;13500;1,10;3,59
3,59;13500;1,10;3,59
3,60;13500;1,10;3,60
3,60;13500;1,10;3,60
3,61;13500;1,10;3,61
3,61;13500;1,10;3,61
3,61;13400;1,10;3,62
3,62;13400;1,10;3,62
3,62;13400;1,10;3,63
3,63;13400;1,10;3,63
3,63;13400;1,10;3,64
3,64;13400;1,10;3,64
3,64;13400;1,10;3,65
3,65;13400;1,10;3,65
3,65;13400;1,10;3,66
3,66;13400;1,10;3,66
3,66;13400;1,10;3,67
3,67;13400;1,10;3,67
3,67;13500;1,10;3,68
3,68;13500;1,10;3,68
3,68;13500;1,10;3,69
3,69;13500;1,10;3,69
3,69;13500;1,10;3,70
3,70;13500;1,10;3,70
3,70;13500;1,10;3,71
3,71;13500;1,10;3,71
3,71;13500;1,10;3,72
3,72;13500;1,10;3,72
3,72;13500;1,10;3,73
3,73;13500;1,10;3,73
3,73;13500;1,10;3,73
3,74;13500;1,10;3,74
3,74;13500;1,10;3,74
3,75;13500;1,10;3,75
3,75;13500;1,10;3,75
3,76;13500;1,10;3,76
3,76;13500;1,10;3,76
3,76;13400;1,10;3,77
3,77;13400;1,10;3,77
3,77;13400;1,10;3,78
3,78;13400;1,10;3,78
3,78;13400;1,10;3,79
3,79;13400;1,10;3,79
3,79;13400;1,10;3,80
3,80;13400;1,10;3,80
3,80;13400;1,10;3,81
3,81;13400;1,10;3,81
3,81;13400;1,10;3,82
3,82;13400;1,10;3,82
3,82;13400;1,10;3,83
3,83;13500;1,10;3,83
3,83;13500;1,10;3,84
3,84;13500;1,10;3,84
3,84;13600;1,10;3,85
3,85;13600;1,10;3,85
3,85;13600;1,10;3,86
3,86;13700;1,10;3,86
3,87;13800;1,10;3,87
3,87;13800;1,10;3,87
3,94;14800;1,10;3,88
4,04;15200;1,10;3,88
4,14;15500;1,10;3,88
4,23;15700;1,10;3,89
4,33;16000;1,10;3,89
4,42;16200;1,10;3,90
4,52;16400;1,10;3,90
4,62;16600;1,10;3,91
4,71;16700;1,10;3,91
4,81;16900;1,10;3,92
4,90;17100;1,10;3,92
5,00;17200;1,10;3,93
5,10;17400;1,10;3,93
5,19;17600;1,10;3,94
5,29;17700;1,10;3,94
5,38;17900;1,10;3,95
5,48;18000;1,10;3,95
5,58;18100;1,10;3,96
5,67;18300;1,10;3,96
5,77;18400;1,10;3,97
5,87;18500;1,10;3,97
5,96;18700;1,10;3,98
6,06;18800;1,10;3,98
6,15;18900;1,10;3,99
6,25;19000;1,10;3,99
6,35;19100;1,10;4,00
6,44;19200;1,10;4,00
6,54;19300;1,10;4,01
6,63;19400;1,10;4,01
6,73;19500;1,10;4,01
6,83;19600;1,10;4,02
6,92;19700;1,10;4,02
7,02;19800;1,10;4,03
7,12;19900;1,10;4,03
7,21;20000;1,10;4,04
7,31;20000;1,10;4,04
7,40;20100;1,10;4,05
7,50;20200;1,10;4,05
7,60;20300;1,10;4,06
7,69;20300;1,10;4,06
7,79;20400;1,10;4,07
7,88;20500;1,10;4,07
7,98;20600;1,10;4,08
8,08;20600;1,10;4,08
8,17;20700;1,10;4,09
8,27;20700;1,10;4,09
8,37;20800;1,10;4,10
8,46;20900;1,10;4,10
8,56;20900;1,10;4,11
8,65;21000;1,10;4,11
8,75;21000;1,10;4,12
8,85;21100;1,10;4,12
8,94;21100;1,10;4,13
9,04;21100;1,10;4,13
9,14;21200;1,10;4,13
9,23;21200;1,10;4,14
9,33;21300;1,10;4,14
9,42;21300;1,10;4,15
9,52;21400;1,10;4,15
9,62;21400;1,10;4,16
9,71;21500;1,10;4,16
9,81;21500;1,10;4,17
9,90;21500;1,10;4,17
10,0;21600;1,10;4,18
10,1;21600;1,10;4,18
10,2;21700;1,10;4,19
10,3;21700;1,10;4,19
10,4;21700;1,10;4,20
10,5;21800;1,10;4,20
10,6;21800;1,10;4,21
10,7;21800;1,10;4,21
10,8;21900;1,10;4,22
10,9;21900;1,10;4,22
11,0;21900;1,10;4,23
11,1;21900;1,10;4,23
11,2;22000;1,10;4,24
11,2;22000;1,10;4,24
